ID,LabelName,x,y,Elevation
314,AA,586193.004,3207172.804,2173
315,AA,586195.3025,3207191.104,2174
316,AA,586185.6534,3207191.696,2172
317,AA,586185.636,3207194.023,2171
318,AA,586208.2952,3207212.365,2175
319,AA,586205.784,3207209.465,2177
320,AA,586206.4891,3207206.368,2177
321,AA,586209.0327,3207204.946,2178
322,AA,586203.7047,3207200.917,2177
323,AA,586197.6824,3207198.545,2175
324,AA,586197.1534,3207191.118,2175
325,AA,586203.0113,3207176.424,2176
326,AA,586201.7263,3207165.888,2174
327,AA,586208.0881,3207161.947,2176
328,AA,586221.5489,3207159.721,2177
329,AA,586241.7061,3207173.944,2180
330,AA,586241.9635,3207178.6,2181
331,AA,586220.0388,3207166.247,2178
332,AA,586217.2435,3207188.276,2181
333,AA,586207.9292,3207196.184,2176
334,AA,586212.5347,3207205.637,2176
335,AA,586216.0934,3207211.758,2175
336,AA,586227.5893,3207211.733,2175
337,AA,586230.6722,3207203.335,2175
338,AA,586230.8704,3207202.894,2176
339,AA,586230.1275,3207198.013,2178
340,AA,586235.5194,3207193.51,2177
341,AA,586241.5318,3207197.212,2177
342,AA,586233.2362,3207186.18,2180
343,AA,586236.7219,3207137.009,2179
344,AA,586239.7427,3207136.921,2180
345,AA,586239.2705,3207134.923,2181
346,AA,586235.9746,3207119.718,2181
347,AA,586243.5426,3207097.835,2180
348,AA,586220.0246,3207103.088,2176
349,AA,586212.9218,3207114.891,2175
350,AA,586210.9627,3207116.317,2175
351,AA,586204.4823,3207110.064,2173
352,AA,586204.241,3207116.267,2174
353,AA,586204.619,3207117.821,2174
354,AA,586222.726,3207119.619,2177
355,AA,586224.7709,3207119.745,2178
356,AA,586230.2979,3207123.221,2180
357,AA,586229.7934,3207125.544,2180
358,AA,586223.2425,3207128.708,2177
359,AA,586221.8662,3207130.36,2176
360,AA,586225.0378,3207136.146,2177
361,AA,586220.9865,3207143.761,2174
362,AA,586215.9682,3207137.407,2175
363,AA,586211.3842,3207151.113,2174
364,AA,586201.0324,3207154.47,2169
365,AA,586198.3113,3207153.564,2169
366,AA,586190.6055,3207154.835,2171
367,AA,586187.2909,3207155.143,2171
368,AA,586186.8677,3207146.608,2170
369,AA,586187.4045,3207139.964,2170
370,AA,586181.6752,3207163.522,2169
371,AA,586172.5732,3207169.105,2168
372,AA,586174.5775,3207148.621,2170
373,AA,586159.3715,3207149.726,2167
374,AA,586158.5599,3207154.042,2167
375,AA,586158.5408,3207156.59,2168
376,AA,586156.5834,3207183.833,2168
377,AA,586132.3522,3207193.292,2165
378,AA,586121.3931,3207186.673,2164
379,AA,586145.5397,3207162.476,2166
380,AA,586153.8151,3207163.203,2168
381,AA,586245.1958,3207085.216,2182
382,AA,586238.8347,3207089.046,2181
383,AA,586237.6682,3207088.705,2181
384,AA,586230.7632,3207087.102,2181
385,AA,586230.3835,3207085.77,2180
386,AA,586234.2002,3207083.471,2181
387,AA,586239.5399,3207085.949,2181
388,AA,586238.5524,3207087.715,2181
389,AA,586236.6862,3207076.731,2183
390,AA,586236.3107,3207074.844,2183
391,AA,586230.474,3207073.693,2182
392,AA,586231.556,3207059.296,2187
393,AA,586226.1948,3207059.699,2185
394,AA,586209.0358,3207048.38,2187
395,AA,586204.3892,3207057.431,2184
396,AA,586216.6355,3207061.29,2184
397,AA,586216.6947,3207066.387,2182
398,AA,586217.1287,3207073.482,2181
399,AA,586210.3162,3207072.544,2180
400,AA,586211.5295,3207079.645,2179
